Groupe de couches,Index de la couche,Nom de la couche,Nombre d'objets
de0df55c-d671-4c7c-b15b-592589bf0aa3,203,F4.C.04,10
de0df55c-d671-4c7c-b15b-592589bf0aa3,204,F4.C.03,8
de0df55c-d671-4c7c-b15b-592589bf0aa3,205,F4.C.02,9
de0df55c-d671-4c7c-b15b-592589bf0aa3,206,F4.C.01,9
44124160-5831-475f-8398-df36d14c5188,207,F3,0
ec41073e-a760-4d25-86fd-96ac8d890af3,208,EXISTANT,0
377581c4-4621-43ee-8206-b9f7e626a178,209,F3.E.01,7
ec41073e-a760-4d25-86fd-96ac8d890af3,210,CONSTRUCTION,0
3c142aa7-5bc8-4c4c-b819-1dd312238e59,211,F3.C.03,8
3c142aa7-5bc8-4c4c-b819-1dd312238e59,212,F3.C.02,7
3c142aa7-5bc8-4c4c-b819-1dd312238e59,213,F3.C.01,7
44124160-5831-475f-8398-df36d14c5188,214,F2,0
2c08ee3c-6b4f-45cd-a0a7-6e0e90e8e706,215,EXISTANT,0
603529bb-c2ae-4ae4-be50-923a47310a51,216,R.F2.E0.02,1
603529bb-c2ae-4ae4-be50-923a47310a51,217,R.F2.E0.01,1
603529bb-c2ae-4ae4-be50-923a47310a51,218,E.F2.E0.01,1
2c08ee3c-6b4f-45cd-a0a7-6e0e90e8e706,219,CONSTRUCTION,0
2412ad6d-91ce-4871-965c-8408186bc26d,220,F2.C.10,2
2412ad6d-91ce-4871-965c-8408186bc26d,221,F2.C.09,7
2412ad6d-91ce-4871-965c-8408186bc26d,222,F2.C.08,7
2412ad6d-91ce-4871-965c-8408186bc26d,223,F2.C.07,9
2412ad6d-91ce-4871-965c-8408186bc26d,224,F2.C.06,9
2412ad6d-91ce-4871-965c-8408186bc26d,225,F2.C.05,18
2412ad6d-91ce-4871-965c-8408186bc26d,226,F2.C.03,9
2412ad6d-91ce-4871-965c-8408186bc26d,227,F2.C.02,7
2412ad6d-91ce-4871-965c-8408186bc26d,228,F2.C.01,6
44124160-5831-475f-8398-df36d14c5188,229,F1,0
8585c837-793b-4cf3-a8e6-32ad640088e3,230,EXISTANT,0
9a721c2f-7912-4013-9c3f-b4c9dbf1d58e,231,F1.E.01,20
8585c837-793b-4cf3-a8e6-32ad640088e3,232,CONSTRUCTION,0
4b52cf98-2906-4337-9f8d-e01ed3901ddd,233,F1.C.04,6
4b52cf98-2906-4337-9f8d-e01ed3901ddd,234,F1.C.03,8
4b52cf98-2906-4337-9f8d-e01ed3901ddd,235,F1.C.02,6
4b52cf98-2906-4337-9f8d-e01ed3901ddd,236,F1.C.01,6
947f0691-2e93-47d5-922a-aae0a48be4d1,237,SECTEUR G,0
5803429a-1386-4b25-b88a-173d7b73c661,238,G2,0
ea770880-b92f-4c7f-88e0-34392a4c370d,239,CONSTRUCTION,0
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,240,G2.C.08,10
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,241,G2.C.07,8
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,242,G2.C.06,10
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,243,G2.C.05,10
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,244,G2.C.04,20
ff2dbca0-95f3-4d15-983c-b0093f46ef1d,245,G2.C.03,11
5803429a-1386-4b25-b88a-173d7b73c661,246,G1,0
636722dc-a274-4902-ae74-71a07c941e5e,247,CONSTRUCTION,0
2ab612f4-8be1-495e-96da-4f2032de2284,248,G1.C.06,10
2ab612f4-8be1-495e-96da-4f2032de2284,249,G1.C.05,10
2ab612f4-8be1-495e-96da-4f2032de2284,250,G1.C.04,8
2ab612f4-8be1-495e-96da-4f2032de2284,251,G1.C.03,8
2ab612f4-8be1-495e-96da-4f2032de2284,252,G1.C.02,8
2ab612f4-8be1-495e-96da-4f2032de2284,253,G1.C.01,16
2ab612f4-8be1-495e-96da-4f2032de2284,254,Gare routière,3
947f0691-2e93-47d5-922a-aae0a48be4d1,255,SECTEUR H,0
b1332c37-b726-43e1-a2d9-c2713946f625,256,H4,0
0fb5310b-f4c6-4335-ac45-4bf82b57024b,257,CONSTRUCTION,0
dbc8fb42-3971-4bc4-951e-3dd09cdee302,258,H4.C.06,10
dbc8fb42-3971-4bc4-951e-3dd09cdee302,259,H4.C.05,13
dbc8fb42-3971-4bc4-951e-3dd09cdee302,260,H4.C.04,24
dbc8fb42-3971-4bc4-951e-3dd09cdee302,261,H4.C.03,12
dbc8fb42-3971-4bc4-951e-3dd09cdee302,262,H4.C.02,11
dbc8fb42-3971-4bc4-951e-3dd09cdee302,263,H4.C.01,10
b1332c37-b726-43e1-a2d9-c2713946f625,264,H3,0
26fa23f0-bc39-44c8-ba62-4cb94ae6bafd,265,EXISTANT,0
d6ed4934-54d2-4b48-a73d-0d3538c843ee,266,H3.E.01,2
26fa23f0-bc39-44c8-ba62-4cb94ae6bafd,267,CONSTRUCTION,0
4b6454e4-f962-4062-815c-3d99fc6d1fec,268,H3.C.11,9
4b6454e4-f962-4062-815c-3d99fc6d1fec,269,H3.C.09,7
4b6454e4-f962-4062-815c-3d99fc6d1fec,270,H3.C.08,3
4b6454e4-f962-4062-815c-3d99fc6d1fec,271,H3.C.07,10
4b6454e4-f962-4062-815c-3d99fc6d1fec,272,H3.C.06,10
4b6454e4-f962-4062-815c-3d99fc6d1fec,273,H3.C.05,10
4b6454e4-f962-4062-815c-3d99fc6d1fec,274,H3.C.04,11
4b6454e4-f962-4062-815c-3d99fc6d1fec,275,H3.C.03,10
4b6454e4-f962-4062-815c-3d99fc6d1fec,276,H3.C.02,11
4b6454e4-f962-4062-815c-3d99fc6d1fec,277,H3.C.01,9
b1332c37-b726-43e1-a2d9-c2713946f625,278,H2,0
23d6b989-df2f-4d3c-9050-440e9a39b136,279,EXISTANT,0
